gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
36,Tenkasi,Sendamaram,221,221,0,2,0,0,1,0,0,1
21,Tirunelveli,T. Kallikulam,148,148,0,1,0,0,1,0,0,1
36,Tenkasi,Tenkasi-DHQ,1796,1796,0,3,0,1,2,0,0,1
21,Tirunelveli,Thirukkurungudi,707,703,4,2,0,1,1,0,1,1
21,Tirunelveli,Thisayanvilai,425,425,0,2,0,1,1,0,1,1
21,Tirunelveli,Ukkirankottai,122,122,0,2,0,1,1,0,1,1
21,Tirunelveli,Uvari,106,106,0,1,0,0,1,0,0,1
21,Tirunelveli,Vadakarai Kilpidagai,1,1,0,3,0,2,1,0,1,1
21,Tirunelveli,Vadakkankulam,160,160,0,2,0,1,1,0,1,1
21,Tirunelveli,Vairavikulum,183,183,0,2,0,1,1,0,1,1
36,Tenkasi,Vanniconendal,1616,1616,0,1,0,0,1,0,0,1
36,Tenkasi,Vasudevanallur,436,435,1,2,0,1,1,0,1,1
26,Tiruppur,Avinashi,119,119,0,2,0,1,1,0,1,0
26,Tiruppur,Chavadipalayam,3,3,0,2,0,1,1,0,1,1
26,Tiruppur,Cheyur,3,3,0,2,0,1,1,0,0,0
26,Tiruppur,E.Vadugapalayam,6,6,0,0,0,0,0,0,0,0
26,Tiruppur,Erisinampatty,95,95,0,2,0,1,1,0,1,1
26,Tiruppur,Gudimangalam,239,239,0,2,0,1,1,0,1,1
26,Tiruppur,Kaniyur,227,227,0,2,0,1,1,0,1,1
26,Tiruppur,Kunnathur,686,686,0,2,0,1,1,0,1,1
26,Tiruppur,Mulanur,308,307,1,2,0,1,1,0,1,1
26,Tiruppur,Nambiyampalayam,39,39,0,2,0,1,1,0,1,1
26,Tiruppur,Perumanallur,268,267,1,2,0,1,1,0,1,1
26,Tiruppur,Ponnapuram,457,457,0,2,0,1,1,0,1,1
26,Tiruppur,Semmipalayam,226,226,0,2,0,1,1,0,1,1
26,Tiruppur,Thayampalayam,1,1,0,2,0,1,1,0,1,1
